date,description,amount,category,merchant
2024-01-01,Reliance Trends shirt,1030.65,shopping,Reliance
2024-01-02,Hotstar IPL match,356.27,entertainment,Hotstar
2024-01-03,PVR Gold movie ticket,610.18,entertainment,PVR
2024-01-04,Uber to office Koramangala,446.27,transport,Uber
2024-01-05,Hotstar IPL match,807.46,entertainment,Hotstar
2024-01-06,Flipkart tshirt sale,648.39,shopping,Flipkart
2024-01-07,McDonald's Big Mac,374.82,food,McDonald's
2024-01-08,Metro Namma Bengaluru,241.08,transport,Metro
2024-01-09,Airtel broadband,1380.07,bills,Airtel
2024-01-10,Metro Namma Bengaluru,390.33,transport,Metro
2024-01-11,Shell petrol Whitefield,342.25,transport,Shell
2024-01-12,Local restaurant lunch,424.72,food,Local
2024-01-13,Auto rickshaw Marathahalli,305.05,transport,Auto
2024-01-14,Myntra shoes delivery,1082.35,shopping,Myntra
2024-01-15,Shell petrol Whitefield,131.74,transport,Shell
2024-01-16,Shell petrol Whitefield,331.38,transport,Shell
2024-01-17,Airtel broadband,1982.84,bills,Airtel
2024-01-18,Auto rickshaw Marathahalli,279.01,transport,Auto
2024-01-19,Netflix subscription,722.32,entertainment,Netflix
2024-01-20,Ola cab airport drop,378.64,transport,Ola
2024-01-21,Zomato pizza delivery,430.65,food,Zomato
2024-01-22,Tea stall chai,391.33,food,Tea
2024-01-23,BigBasket monthly grocery,805.13,shopping,BigBasket
2024-01-24,Ola cab airport drop,342.71,transport,Ola
2024-01-25,Local restaurant lunch,193.94,food,Local
2024-01-26,BMTC bus pass monthly,277.53,transport,BMTC
2024-01-27,BigBasket monthly grocery,947.3,shopping,BigBasket
2024-01-28,Metro Namma Bengaluru,297.12,transport,Metro
2024-01-29,Nandhana Palace dinner,353.09,food,Nandhana
2024-01-30,Airtel broadband,1266.44,bills,Airtel
2024-01-31,Metro Namma Bengaluru,214.41,transport,Metro
2024-02-01,Starbucks coffee,511.89,food,Starbucks
2024-02-02,Uber to office Koramangala,248.08,transport,Uber
2024-02-03,Spotify Premium,783.98,entertainment,Spotify
2024-02-04,Metro Namma Bengaluru,284.31,transport,Metro
2024-02-05,Local restaurant lunch,301.24,food,Local
2024-02-06,BMTC bus pass monthly,228.5,transport,BMTC
2024-02-07,BWSSB water charges,1307.63,bills,BWSSB
2024-02-08,Shell petrol Whitefield,305.3,transport,Shell
2024-02-09,Ola cab airport drop,301.22,transport,Ola
2024-02-10,Uber to office Koramangala,339.83,transport,Uber
2024-02-11,McDonald's Big Mac,622.82,food,McDonald's
2024-02-12,Flipkart tshirt sale,317.37,shopping,Flipkart
2024-02-13,Zomato pizza delivery,538.0,food,Zomato
2024-02-14,BigBasket monthly grocery,1330.97,shopping,BigBasket
2024-02-15,Metro Namma Bengaluru,303.54,transport,Metro
2024-02-16,BWSSB water charges,2346.88,bills,BWSSB
2024-02-17,Coursera ML certificate,1300.35,technology,Coursera
2024-02-18,Local restaurant lunch,555.74,food,Local
2024-02-19,BigBasket groceries,137.37,food,BigBasket
2024-02-20,BESCOM electricity bill,1034.97,bills,BESCOM
2024-02-21,PVR Gold movie ticket,1097.62,entertainment,PVR
2024-02-22,Auto rickshaw Marathahalli,348.24,transport,Auto
2024-02-23,Tea stall chai,402.47,food,Tea
2024-02-24,Jio mobile recharge,2376.35,bills,Jio
2024-02-25,McDonald's Big Mac,218.76,food,McDonald's
2024-02-26,BESCOM electricity bill,1141.6,bills,BESCOM
2024-02-27,Zomato pizza delivery,311.2,food,Zomato
2024-02-28,BigBasket monthly grocery,1010.99,shopping,BigBasket
2024-02-29,Ola cab airport drop,361.57,transport,Ola
2024-03-01,BESCOM electricity bill,1558.0,bills,BESCOM
2024-03-02,Auto rickshaw Marathahalli,200.0,transport,Auto
2024-03-03,BWSSB water charges,2171.89,bills,BWSSB
2024-03-04,Nandhana Palace dinner,369.84,food,Nandhana
2024-03-05,Tea stall chai,324.87,food,Tea
2024-03-06,Ola cab airport drop,42.79,transport,Ola
2024-03-07,Jio mobile recharge,1530.99,bills,Jio
2024-03-08,Myntra shoes delivery,1541.75,shopping,Myntra
2024-03-09,Tea stall chai,443.28,food,Tea
2024-03-10,BWSSB water charges,1206.41,bills,BWSSB
2024-03-11,Flipkart tshirt sale,897.24,shopping,Flipkart
2024-03-12,BigBasket groceries,525.65,food,BigBasket
2024-03-13,Swiggy order biryani,507.37,food,Swiggy
2024-03-14,Metro Namma Bengaluru,324.12,transport,Metro
2024-03-15,Metro Namma Bengaluru,230.23,transport,Metro
2024-03-16,Metro Namma Bengaluru,200.68,transport,Metro
2024-03-17,BMTC bus pass monthly,315.3,transport,BMTC
2024-03-18,Amazon laptop accessories,1306.65,shopping,Amazon
2024-03-19,Starbucks coffee,341.73,food,Starbucks
2024-03-20,Metro Namma Bengaluru,205.6,transport,Metro
2024-03-21,Zomato pizza delivery,423.85,food,Zomato
2024-03-22,Jio mobile recharge,1477.02,bills,Jio
2024-03-23,Ola cab airport drop,282.62,transport,Ola
2024-03-24,Amazon laptop accessories,1058.15,shopping,Amazon
2024-03-25,BigBasket groceries,102.22,food,BigBasket
2024-03-26,BMTC bus pass monthly,481.53,transport,BMTC
2024-03-27,Netflix subscription,766.27,entertainment,Netflix
2024-03-28,Ola cab airport drop,159.11,transport,Ola
2024-03-29,Amazon laptop accessories,1048.37,shopping,Amazon
2024-03-30,BWSSB water charges,1876.62,bills,BWSSB
2024-03-31,Uber to office Koramangala,174.52,transport,Uber
2024-04-01,Zomato pizza delivery,292.05,food,Zomato
2024-04-02,BigBasket monthly grocery,553.56,shopping,BigBasket
2024-04-03,Ola cab airport drop,351.81,transport,Ola
2024-04-04,Udemy data science course,754.55,technology,Udemy
2024-04-05,Flipkart tshirt sale,985.36,shopping,Flipkart
2024-04-06,Nandhana Palace dinner,383.87,food,Nandhana
2024-04-07,McDonald's Big Mac,304.41,food,McDonald's
2024-04-08,BESCOM electricity bill,1886.52,bills,BESCOM
2024-04-09,Reliance Trends shirt,935.84,shopping,Reliance
2024-04-10,Tea stall chai,325.79,food,Tea
2024-04-11,Netflix subscription,658.97,entertainment,Netflix
2024-04-12,Reliance Trends shirt,1266.92,shopping,Reliance
2024-04-13,Ola cab airport drop,169.39,transport,Ola
2024-04-14,Tea stall chai,341.43,food,Tea
2024-04-15,BESCOM electricity bill,1799.25,bills,BESCOM
2024-04-16,Shell petrol Whitefield,342.44,transport,Shell
2024-04-17,Netflix subscription,586.91,entertainment,Netflix
2024-04-18,Nandhana Palace dinner,453.96,food,Nandhana
2024-04-19,Domino's pasta,312.86,food,Domino's
2024-04-20,Flipkart tshirt sale,1687.92,shopping,Flipkart
2024-04-21,BESCOM electricity bill,2184.13,bills,BESCOM
